1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
UserData_20,Frame ID£º0x01,FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_STA_Shock,Frame ID£º0x02,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_SenserTMP,FC_STA_BAR,FC_STA_MAG,Frame ID£º0x03,FC_ATT_ROL,FC_ATT_PIT
0,0,-1986,213,197,-8,25,-42,107,0,0,0,0,0,0,0,0,0,0,0
0,0,-1991,209,199,-9,22,-44,94,0,0,0,0,0,0,0,0,0,0,0
0,0,-1997,206,199,-9,24,-42,89,0,0,0,0,0,0,0,0,0,0,0
0,0,-1992,205,198,-9,23,-45,88,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,211,195,-8,22,-42,99,0,0,0,0,0,0,0,0,0,0,0
0,0,-1988,216,206,-9,21,-43,111,0,0,0,0,0,0,0,0,0,0,0
0,0,-1983,205,195,-9,24,-43,97,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,207,202,-9,23,-43,101,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,207,204,-9,24,-43,104,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,215,191,-9,23,-41,100,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,208,195,-9,23,-43,93,0,0,0,0,0,0,0,0,0,0,0
0,0,-1994,212,192,-9,25,-41,93,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,209,200,-7,21,-39,103,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,208,200,-9,21,-42,97,0,0,0,0,0,0,0,0,0,0,0
0,0,-1992,204,199,-8,21,-41,91,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,216,201,-9,22,-42,109,0,0,0,0,0,0,0,0,0,0,0
0,0,-1990,213,212,-9,22,-42,114,0,0,0,0,0,0,0,0,0,0,0
0,0,-1988,209,206,-9,24,-42,108,0,0,0,0,0,0,0,0,0,0,0
0,0,-1981,218,200,-9,23,-43,116,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,205,197,-7,24,-39,99,0,0,0,0,0,0,0,0,0,0,0
0,0,-1992,205,191,-8,24,-42,86,0,0,0,0,0,0,0,0,0,0,0
0,0,-1984,210,209,-8,24,-42,117,0,0,0,0,0,0,0,0,0,0,0
0,0,-1987,210,203,-8,24,-43,107,0,0,0,0,0,0,0,0,0,0,0
0,0,-1992,203,188,-8,23,-41,81,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,209,193,-9,22,-44,90,0,0,0,0,0,0,0,0,0,0,0
0,0,-1990,205,208,-8,23,-44,102,0,0,0,0,0,0,0,0,0,0,0
0,0,-1990,204,192,-9,21,-42,84,0,0,0,0,0,0,0,0,0,0,0
0,0,-1989,207,192,-9,23,-41,91,0,0,0,0,0,0,0,0,0,0,0
0,0,-1986,217,196,-9,24,-43,107,0,0,0,0,0,0,0,0,0,0,0
0,0,-1991,205,190,-8,24,-43,85,0,0,0,0,0,0,0,0,0,0,0
0,0,-1998,206,193,-9,25,-43,82,0,0,0,0,0,0,0,0,0,0,0
0,0,-1985,205,204,-8,22,-44,102,0,0,0,0,0,0,0,0,0,0,0
