1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
UserData_20,Frame ID£º0x01,FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_STA_Shock,Frame ID£º0x02,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_SenserTMP,FC_STA_BAR,FC_STA_MAG,Frame ID£º0x03,FC_ATT_ROL,FC_ATT_PIT
0,0,2074,-2,-86,602,-36,12,193,0,0,0,0,0,0,0,0,0,0,0
0,0,2080,6,-94,603,-34,12,203,0,0,0,0,0,0,0,0,0,0,0
0,0,2079,1,-96,603,-35,13,195,0,0,0,0,0,0,0,0,0,0,0
0,0,2079,1,-99,601,-35,12,189,0,0,0,0,0,0,0,0,0,0,0
0,0,2072,0,-101,602,-36,13,180,0,0,0,0,0,0,0,0,0,0,0
0,0,2070,-1,-102,602,-34,11,175,0,0,0,0,0,0,0,0,0,0,0
0,0,2081,0,-104,602,-34,11,186,0,0,0,0,0,0,0,0,0,0,0
0,0,2078,-1,-88,602,-35,12,197,0,0,0,0,0,0,0,0,0,0,0
0,0,2075,0,-98,601,-34,12,186,0,0,0,0,0,0,0,0,0,0,0
0,0,2074,5,-106,602,-35,12,182,0,0,0,0,0,0,0,0,0,0,0
0,0,2079,6,-97,602,-35,12,197,0,0,0,0,0,0,0,0,0,0,0
0,0,2075,2,-104,603,-34,11,183,0,0,0,0,0,0,0,0,0,0,0
0,0,2074,4,-98,603,-35,13,191,0,0,0,0,0,0,0,0,0,0,0
0,0,2076,-2,-93,601,-35,12,188,0,0,0,0,0,0,0,0,0,0,0
0,0,2070,5,-98,601,-35,12,185,0,0,0,0,0,0,0,0,0,0,0
0,0,2078,-4,-97,601,-34,13,186,0,0,0,0,0,0,0,0,0,0,0
0,0,2072,6,-112,601,-35,12,174,0,0,0,0,0,0,0,0,0,0,0
0,0,2076,5,-106,603,-35,12,185,0,0,0,0,0,0,0,0,0,0,0
0,0,2077,7,-118,603,-35,13,177,0,0,0,0,0,0,0,0,0,0,0
